epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8956,2.10807,3.88584,1.65901,0.00501,0.2582,0.00537,0.00177,2.52649,4.34295,2.16888,0.0004,0.0004,0.0964
2,96.5677,1.75381,3.23244,1.4863,0.00474,0.22578,0.02164,0.00845,2.27409,4.46302,2.26379,0.00089109,0.00089109,0.0918911
3,130.402,1.95571,2.69487,1.45468,0.00449,0.19595,0.00689,0.0026,2.62991,4.52728,2.76107,0.00137228,0.00137228,0.0873723
4,167.991,1.8748,2.52105,1.48028,0.00726,0.23628,0.01436,0.00381,2.73067,4.36555,3.55224,0.00184357,0.00184357,0.0828436
5,205.326,1.89452,2.24311,1.36543,0.00586,0.22748,0.00451,0.00175,3.29006,5.79487,5.16162,0.00230496,0.00230496,0.078305
6,242.331,2.01108,2.20472,1.44518,0.0049,0.20913,0.00304,0.00114,3.22864,4.91678,7.09778,0.00275645,0.00275645,0.0737565
7,272.712,1.75177,2.22532,1.37215,0.00554,0.22954,0.00348,0.00138,3.64016,242.693,33.1775,0.00319804,0.00319804,0.069198
8,307.708,1.85009,2.14805,1.43598,0.00159,0.06539,0.00085,0.00029,3.75273,1162.32,21.6006,0.00362973,0.00362973,0.0646297
9,346.585,1.85504,2.05916,1.32796,0.00356,0.16281,0.00211,0.00079,3.27847,1687.19,23.254,0.00405152,0.00405152,0.0600515
10,396.894,1.8091,2.19707,1.52749,0.00034,0.01866,0.0002,4e-05,2.73146,5235,17.5213,0.00446341,0.00446341,0.0554634
11,448.18,2.04256,2.00659,1.4915,0,0,0,0,2.81707,22627.3,45.0821,0.0048654,0.0048654,0.0508654
12,499.534,1.9076,1.99766,1.36564,0,0,0,0,2.82815,32316.2,64.4432,0.00525749,0.00525749,0.0462575
13,534.301,1.89069,2.28077,1.49261,0,0,0,0,2.84389,8774.45,85.8358,0.00563968,0.00563968,0.0416397
14,575.596,1.96366,2.06278,1.50432,0,0,0,0,2.84389,8774.45,85.8358,0.00601197,0.00601197,0.037012
15,613.821,1.96225,1.89174,1.3903,0.00244,0.1027,0.00135,0.00062,2.85963,1654.86,63.4417,0.00637436,0.00637436,0.0323744
16,652.552,1.99872,2.01942,1.42646,0.00319,0.12446,0.00184,0.00091,3.09628,2155.36,5.13167,0.00672685,0.00672685,0.0277268
17,691.688,1.954,1.98326,1.42873,0.01038,0.37833,0.00764,0.00347,3.09136,737.538,3.54498,0.00706944,0.00706944,0.0230694
18,730.373,1.8524,2.06073,1.4397,0.01038,0.37833,0.00764,0.00347,3.09136,737.538,3.54498,0.00740213,0.00740213,0.0184021
19,769.909,1.85181,2.02489,1.43028,0.01834,0.53108,0.01463,0.00632,2.7274,228.354,2.97478,0.00772492,0.00772492,0.0137249
20,807.045,1.8456,2.05231,1.42908,0.02768,0.4372,0.02168,0.00917,2.50475,71.6512,2.52157,0.00803781,0.00803781,0.00903781
21,843.302,1.90016,2.17386,1.55174,0.02768,0.4372,0.02168,0.00917,2.50475,71.6512,2.52157,0.00802,0.00802,0.00802
22,864.177,1.89787,2.01118,1.35139,0.0165,0.25896,0.01136,0.00505,2.51051,55.6725,2.32875,0.007921,0.007921,0.007921
23,879.669,1.77673,1.96301,1.32691,0.06756,0.17399,0.03351,0.01505,2.52994,24.6368,2.5118,0.007822,0.007822,0.007822
24,895.397,1.82518,2.06306,1.53062,0.06756,0.17399,0.03351,0.01505,2.52994,24.6368,2.5118,0.007723,0.007723,0.007723
25,911.951,1.80318,1.92835,1.38591,0.16495,0.26187,0.10494,0.04155,2.18225,17.961,2.24064,0.007624,0.007624,0.007624
26,927.173,1.72162,1.9676,1.42288,0.16495,0.26187,0.10494,0.04155,2.18225,17.961,2.24064,0.007525,0.007525,0.007525
27,942.198,1.68687,1.78538,1.31233,0.07205,0.26684,0.04278,0.01701,2.16557,32.0963,2.10432,0.007426,0.007426,0.007426
28,958.587,1.69208,1.84074,1.37873,0.04698,0.3598,0.03032,0.01203,2.33512,29.6999,2.33582,0.007327,0.007327,0.007327
