epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8809,1.73068,2.15859,1.28824,0.43981,0.20602,0.11344,0.05321,2.02636,2.66374,2.06863,0.00331707,0.00331707,0.0701463
2,83.2372,1.62397,1.63956,1.24294,0.16489,0.31006,0.12746,0.06446,1.9974,3.29161,2.08217,0.00658457,0.00658457,0.0400805
3,118.466,1.59869,1.55953,1.23777,0.17733,0.22206,0.16647,0.08775,2.3377,3.364,2.51061,0.00978606,0.00978606,0.00994866
4,148.69,1.54422,1.48146,1.21163,0.30278,0.30544,0.20931,0.1156,1.81526,2.80777,1.82142,0.009703,0.009703,0.009703
5,179.329,1.45299,1.41874,1.1799,0.303,0.4256,0.29192,0.15611,1.68583,2.46708,1.71593,0.009604,0.009604,0.009604
6,209.598,1.42169,1.37549,1.16387,0.19831,0.40852,0.2544,0.14685,1.7268,2.44006,1.69741,0.009505,0.009505,0.009505
7,242.27,1.39165,1.33169,1.14359,0.33745,0.33961,0.28612,0.16482,1.70765,2.59027,1.7426,0.009406,0.009406,0.009406
8,276.08,1.39421,1.3071,1.14152,0.35334,0.43077,0.34952,0.19649,1.6933,2.41518,1.73023,0.009307,0.009307,0.009307
9,312.425,1.34672,1.2733,1.119,0.34835,0.37657,0.3406,0.19618,1.55301,2.08397,1.60762,0.009208,0.009208,0.009208
10,348.134,1.33465,1.22723,1.10725,0.3851,0.41596,0.39464,0.22958,1.53822,2.04462,1.60434,0.009109,0.009109,0.009109
11,384.864,1.30572,1.23509,1.11205,0.37947,0.52502,0.36723,0.21752,1.56392,2.20073,1.62672,0.00901,0.00901,0.00901
12,419.339,1.30757,1.24272,1.1065,0.3835,0.50569,0.37782,0.22913,1.58717,2.01626,1.57594,0.008911,0.008911,0.008911
13,452.266,1.29972,1.20099,1.09321,0.38695,0.47958,0.40316,0.24343,1.57067,2.05778,1.61802,0.008812,0.008812,0.008812
14,484.521,1.29945,1.20072,1.09604,0.38463,0.46906,0.40788,0.2572,1.51062,1.98527,1.59434,0.008713,0.008713,0.008713
15,517.355,1.28417,1.20038,1.08442,0.48723,0.49182,0.4567,0.28204,1.50467,2.05435,1.56464,0.008614,0.008614,0.008614
16,549.371,1.27717,1.16045,1.07741,0.48655,0.48864,0.46124,0.28754,1.48115,1.86715,1.55983,0.008515,0.008515,0.008515
17,581.817,1.24457,1.1406,1.07175,0.4843,0.54487,0.48894,0.3022,1.47986,1.86249,1.54438,0.008416,0.008416,0.008416
18,615.456,1.23044,1.10682,1.06634,0.50995,0.52948,0.48534,0.29871,1.44517,1.82188,1.52156,0.008317,0.008317,0.008317
19,650.123,1.22234,1.08379,1.05069,0.52453,0.50262,0.49656,0.30882,1.43437,1.84297,1.48326,0.008218,0.008218,0.008218
20,683.774,1.21287,1.09374,1.06097,0.5061,0.52369,0.49132,0.31086,1.43837,1.75936,1.5144,0.008119,0.008119,0.008119
21,717.371,1.21646,1.09951,1.05908,0.54453,0.55547,0.53591,0.32755,1.37742,1.81644,1.44291,0.00802,0.00802,0.00802
