epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.169,2.2781,1.64794,1.62974,0.60985,0.49512,0.53662,0.19535,2.21249,2.08574,1.67732,0.00038,0.00038,0.00038
2,268.878,2.15036,1.37554,1.49218,0.55643,0.62683,0.57109,0.20463,2.14373,3.60631,1.59536,0.000770348,0.000770348,0.000770348
3,379.016,2.06898,1.38549,1.44402,0.36103,0.43963,0.30518,0.09219,2.323,3.13308,1.6356,0.0011508,0.0011508,0.0011508
4,494.173,2.05771,1.38331,1.43576,0.53022,0.61159,0.56938,0.20417,2.18178,4.95359,1.66894,0.00152134,0.00152134,0.00152134
5,608.257,2.03543,1.35407,1.47373,0.47978,0.59817,0.45878,0.17492,2.09065,4.81369,1.69189,0.00188199,0.00188199,0.00188199
6,740.982,2.13289,1.29003,1.50017,0.43234,0.4378,0.39234,0.13043,2.34064,3.25526,1.87368,0.00187625,0.00187625,0.00187625
7,854.489,1.99288,1.22125,1.44752,0.64473,0.6628,0.59987,0.22295,2.09364,2.44448,1.57363,0.0018515,0.0018515,0.0018515
8,966.445,1.99163,1.15545,1.42486,0.6667,0.68302,0.6944,0.27143,2.09432,1.39617,1.55548,0.00182675,0.00182675,0.00182675
9,1086.54,1.88665,1.13435,1.38738,0.66251,0.68171,0.67274,0.26261,2.06238,1.21348,1.51968,0.001802,0.001802,0.001802
10,1204.78,1.94626,1.13771,1.42273,0.74442,0.69817,0.71121,0.28565,2.02028,1.32272,1.53067,0.00177725,0.00177725,0.00177725
11,1322.11,1.9813,1.09346,1.38122,0.75886,0.69085,0.74102,0.3046,2.02507,1.2199,1.51864,0.0017525,0.0017525,0.0017525
12,1458.07,1.96596,1.06159,1.40319,0.74287,0.64878,0.71356,0.29992,2.01347,1.26974,1.54525,0.00172775,0.00172775,0.00172775
13,1588.53,1.86562,1.00667,1.3651,0.83869,0.75451,0.82536,0.34297,1.97516,1.10657,1.50025,0.001703,0.001703,0.001703
14,1716.55,1.87984,1.03198,1.39586,0.79616,0.75549,0.78566,0.33789,1.94093,1.06962,1.49085,0.00167825,0.00167825,0.00167825
15,1843.44,1.7951,0.97344,1.33931,0.77752,0.75,0.79482,0.34122,1.90047,1.18333,1.47459,0.0016535,0.0016535,0.0016535
16,1964.3,1.8394,1.00026,1.3198,0.80951,0.75148,0.80844,0.34934,1.9215,1.06499,1.46251,0.00162875,0.00162875,0.00162875
17,2087.07,1.80182,0.95832,1.30176,0.78782,0.74085,0.79329,0.35961,1.91294,1.02968,1.46247,0.001604,0.001604,0.001604
18,2220.22,1.75649,0.93205,1.30246,0.83467,0.8004,0.85231,0.39264,1.8265,1.00656,1.43108,0.00157925,0.00157925,0.00157925
19,2321.34,1.72554,0.9007,1.29589,0.85025,0.7928,0.86035,0.406,1.81646,0.90223,1.42092,0.0015545,0.0015545,0.0015545
20,2448.41,1.77848,0.90455,1.33307,0.85075,0.79512,0.86168,0.40053,1.83592,0.90153,1.43012,0.00152975,0.00152975,0.00152975
21,2572.32,1.77932,0.92929,1.30841,0.82617,0.80671,0.84952,0.38317,1.82985,0.91416,1.44348,0.001505,0.001505,0.001505
22,2689.03,1.76609,0.90617,1.32121,0.82285,0.79268,0.8402,0.39138,1.85495,0.9379,1.42436,0.00148025,0.00148025,0.00148025
23,2804.96,1.76407,0.88373,1.30813,0.84913,0.82683,0.86515,0.40778,1.78175,0.87826,1.38784,0.0014555,0.0014555,0.0014555
24,2951.67,1.66307,0.84809,1.25612,0.84712,0.80075,0.86005,0.39776,1.827,0.89258,1.40358,0.00143075,0.00143075,0.00143075
25,3080.95,1.65543,0.85088,1.26966,0.86926,0.83514,0.88181,0.4232,1.7679,0.85099,1.38407,0.001406,0.001406,0.001406
26,3231.6,1.71138,0.83298,1.25873,0.84833,0.82988,0.87118,0.40706,1.82802,0.87062,1.41773,0.00138125,0.00138125,0.00138125
27,3365.69,1.67636,0.84399,1.27034,0.87019,0.82566,0.88172,0.42958,1.74008,0.85211,1.36027,0.0013565,0.0013565,0.0013565
28,3496.68,1.67707,0.83867,1.23814,0.85178,0.81293,0.8581,0.41039,1.80766,0.8588,1.3939,0.00133175,0.00133175,0.00133175
