epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.635,0.8907,2.65902,1.12783,0.67926,0.59459,0.64122,0.47819,0.97713,1.84807,1.21339,0.00036,0.00036,0.00036
2,225.427,1.18769,1.72595,1.27932,0.58772,0.58108,0.57119,0.34617,1.43227,3.58221,1.75336,0.000725348,0.000725348,0.000725348
3,339.531,1.29059,1.99329,1.47784,0.1324,0.72973,0.37252,0.20944,1.48709,24.1523,2.25301,0.00107565,0.00107565,0.00107565
4,446.79,1.40059,1.80368,1.50793,0.01375,0.14865,0.00681,0.00264,2.44844,369.012,3.63131,0.0014109,0.0014109,0.0014109
5,567.071,1.571,2.0909,1.6263,0.20095,0.22973,0.1111,0.03628,2.22079,8.07898,2.87249,0.0017311,0.0017311,0.0017311
6,680.061,1.69563,1.98288,1.68736,0.16831,0.2027,0.09116,0.01704,3.14386,13.2637,4.49785,0.001802,0.001802,0.001802
7,794.635,1.63162,2.07512,1.64688,0.37751,0.44595,0.33732,0.14975,1.81703,6.1049,2.40066,0.0017624,0.0017624,0.0017624
8,902.149,1.50149,1.89155,1.57459,0.43133,0.39189,0.30453,0.14261,2.09406,6.65962,2.75624,0.0017228,0.0017228,0.0017228
9,997.948,1.46717,1.70499,1.58271,0.31816,0.2973,0.27375,0.1478,1.88165,8.00937,2.61775,0.0016832,0.0016832,0.0016832
10,1101.44,1.48557,1.60598,1.54826,0.21085,0.23473,0.13689,0.06631,2.34266,5.36024,2.77514,0.0016436,0.0016436,0.0016436
11,1211.16,1.48288,1.53109,1.57418,0.33036,0.36486,0.28326,0.13624,1.94328,6.95006,2.428,0.001604,0.001604,0.001604
12,1297.53,1.41487,1.48378,1.50232,0.5783,0.27027,0.26788,0.1231,2.06971,5.42515,2.43935,0.0015644,0.0015644,0.0015644
13,1399.21,1.55871,1.55182,1.63258,0.47249,0.43579,0.38221,0.17846,1.90855,4.94426,2.32364,0.0015248,0.0015248,0.0015248
14,1484.38,1.34363,1.46537,1.47612,0.51202,0.31196,0.33546,0.16373,2.43505,2.6813,2.49107,0.0014852,0.0014852,0.0014852
15,1583.06,1.43021,1.52503,1.54002,0.43773,0.51351,0.47108,0.2489,1.71593,2.25021,2.05977,0.0014456,0.0014456,0.0014456
16,1677.97,1.44963,1.41822,1.56128,0.46375,0.43239,0.42383,0.25002,1.70189,2.04361,1.98595,0.001406,0.001406,0.001406
17,1769.6,1.25852,1.33672,1.41438,0.68206,0.43489,0.52109,0.28365,1.76026,1.98644,2.10811,0.0013664,0.0013664,0.0013664
18,1876.57,1.20143,1.46696,1.31201,0.52501,0.55266,0.5521,0.32327,1.59772,1.72202,1.93053,0.0013268,0.0013268,0.0013268
19,1970.74,1.23932,1.3438,1.42305,0.66615,0.52703,0.63597,0.40439,1.51655,1.57339,1.81838,0.0012872,0.0012872,0.0012872
20,2062.97,1.24111,1.178,1.41529,0.58642,0.64865,0.64657,0.38637,1.61404,1.75284,1.90705,0.0012476,0.0012476,0.0012476
21,2167.52,1.20423,1.19537,1.41415,0.66743,0.60811,0.66743,0.38884,1.63145,1.71003,1.94279,0.001208,0.001208,0.001208
22,2257.23,1.19976,1.16545,1.3636,0.61931,0.68156,0.66876,0.35066,1.69804,1.82138,1.95625,0.0011684,0.0011684,0.0011684
23,2338.58,1.23916,1.18088,1.44652,0.58219,0.7027,0.67514,0.37612,1.59598,1.57965,1.83231,0.0011288,0.0011288,0.0011288
24,2423.69,1.23775,1.2032,1.37397,0.68064,0.62162,0.62696,0.34745,1.69226,1.65035,1.95366,0.0010892,0.0010892,0.0010892
25,2518.44,1.21037,1.15549,1.37532,0.69159,0.6667,0.72115,0.41066,1.47851,2.32828,1.82975,0.0010496,0.0010496,0.0010496
26,2618.39,1.10104,1.13217,1.32548,0.67522,0.70237,0.72207,0.45178,1.35457,1.64919,1.6642,0.00101,0.00101,0.00101
27,2709.2,1.12981,1.08721,1.28139,0.64766,0.72973,0.71351,0.42424,1.40041,1.44592,1.70063,0.0009704,0.0009704,0.0009704
28,2800.2,1.15585,1.05846,1.34483,0.50432,0.71495,0.64182,0.37667,1.37325,1.49484,1.7124,0.0009308,0.0009308,0.0009308
29,2889.64,1.04239,0.94841,1.24549,0.69529,0.68919,0.72796,0.43315,1.46367,1.2612,1.75549,0.0008912,0.0008912,0.0008912
30,2980.54,1.01401,0.95456,1.26023,0.83999,0.59459,0.72325,0.47171,1.36647,1.32009,1.68107,0.0008516,0.0008516,0.0008516
31,3080.19,1.04628,0.98714,1.23835,0.69342,0.703,0.744,0.44129,1.4691,1.32295,1.73774,0.000812,0.000812,0.000812
32,3170.96,1.00803,0.96745,1.25283,0.75986,0.68919,0.7691,0.45905,1.47407,1.34735,1.73931,0.0007724,0.0007724,0.0007724
33,3282.03,0.94403,0.87457,1.19989,0.77103,0.63711,0.72281,0.47018,1.41797,1.47551,1.70387,0.0007328,0.0007328,0.0007328
34,3391.62,0.90004,0.78883,1.22068,0.70329,0.64865,0.66754,0.39591,1.56984,1.74373,1.81046,0.0006932,0.0006932,0.0006932
35,3480.62,0.89167,0.87062,1.19264,0.69188,0.63725,0.67142,0.41541,1.50819,1.63433,1.74011,0.0006536,0.0006536,0.0006536
36,3575.97,0.8871,0.84327,1.20066,0.67967,0.63084,0.6596,0.45277,1.39027,1.53966,1.68013,0.000614,0.000614,0.000614
37,3670.41,0.90547,0.85253,1.16962,0.68741,0.63514,0.66718,0.44591,1.37665,1.47155,1.68518,0.0005744,0.0005744,0.0005744
